id/videoId;snippet/channelId;snippet/title;snippet/channelTitle
djdJiZBE53Q;UCn-rbCboOCthOngsR6CqRtw;Resident Evil 7 Walkthrough Part  8 - Jack Chainsaw BOSS FIGHT;Gritty Urban Saga
wCF9QwVJlhs;UCKMDuwPLGjt-nGHgNPOk5PQ;Resident Evil 7 Biohazard Walkthrough Part 1 - WHOOAAA! I'M DONE! (Black Guy Plays RE7 Biohazard));iMAVERIQ
OIaSvJIzMxk;UCNBFVRMaGirbTYYhnp6CWXA;Resident Evil 7 | Capítulo 5 | Historia Completa;Theslayer360
glL5MwTKgHY;UC9-yZ4onOC6uAZDdEd9FbuQ;RESIDENT EVIL 7 garage;Roof1975
6GTSHuae8L8;UCGAQFQoZNIFUnQQuA-Llu9A;Resident Evil 7: Biohazard playthrough pt28 - Into the Salt Mines: MAJOR Plot Exposition Time!;DSPGaming
oLVLAu5tnOM;UCYiGq8XF7YQD00x7wAd62Zg;ME VOLVÍ COMPLETAMENTE LOCA | Resident Evil 7 - Parte 2;JuegaGerman
o4MVkTyIB8s;UCsEE0EKsQYztPDIH-BrDH8A;Resident Evil 7 Biohazard - Blue Key Card - R7 Walkthrough Part 4;OpsCreeDGames
7Uq8v5zMDGA;UC2lJPgRa6PeDNLUqlCCmDAQ;RESIDENT EVIL 7 Gameplay Walkthrough Part 11 - THE KID! (RE7 PS4 Gameplay);MathChief - Gameplay & Trailers!
FxwdiAM9rn0;UC7UUrKshr-x0a5rqa4qxzrQ;RESIDENT EVIL 7 - #12 - FINAL!!! ELE VOLTOU!?!?!   [LEGENDADO EM PORTUGUÊS;SINXPLAYSBR
uB5DKryKRfk;UCYzp8-P162Em-3uZnCuGJOg;Crakuda Insana! - RESIDENT EVIL 7;Games EduUu
NYkbINO2bWE;UChYQ1Xtus4Od0h8LaKTe6vw;Resident Evil 7 Ethan Happy Birthday;SEPHIROTHJOSE
dTJlhZXR7HQ;UCSHSIx0CttXzzuT3YLVZC7Q;É MAIS ASSUSTADOR DO QUE EU PENSAVA! / Resident Evil 7;wuant
-hHYFWoVG_0;UCIwspRtKNszHhIhl36gREjQ;A VELHA DOS INSETOS! - RESIDENT EVIL 7 - Parte 4;ElectronicDesireGE
8Pl5BdgpQeM;UC7xYS30lwFpT6mr07Qz6zRw;"Resident Evil 7: Biohazard | En Español | Capitulo 3 ""Cara a cara""";RicharBetaCode
Zf4SJQhEWkM;UCYJ61XIK64sp6ZFFS8sctxw;DINNER FOR ONE ?? RESIDENT EVIL 7 #002;Gronkh
YZ3yqqWxAVI;UCb2e0ddz50K0aldWrkjcXNA;RESIDENT EVIL 7 | Capítulo 2 | Me cago en vuestra vida;Gaming4GamersTV
qP1hh6A7lR8;UCqIeOJ3gXlkIqv4ntL0X4BQ;RESIDENT EVIL 7 - LA CASA VIEJA #5 - GAMEPLAY ESPAÑOL;GENuINE993
9f0p5yAXLdY;UCLq35g_MyAFUqd1xdkxN5kg;Welcome to the Family Son | Resident Evil 7 Parte 1 |;MYM ALK4PON3
9OWXpYRpNp8;UCIEcAhxRvKH6RxBMKtKp-jQ;Resident Evil 7: Biohazard - Gameplay Español - Capitulo 1 - Bienvenido a Casa, Chico;ValbuenaGames
mqBWTowjFD0;UCDZsyOkn-WTiTwgAvZSQ_cg;20 MINUTOS DE GORE EXTREMO. ¿PODRÁS AGUANTARLO? | Resident Evil 7 #2;El Rincón De Giorgio
_PAKSktfkrA;UCNrlcowxf6LF0J0rORwY4Nw;RESIDENT EVIL 7 how to get the 44 magnum;PP Playstation Player
LNbprKbxrRs;UC3VEGA6pJKPsPAHyB3n5BNQ;ATTENZIONE: GIOCO PIU' SPAVENTOSO DI SEMPRE!!! (RESIDENT EVIL 7);Gabby16bit
OBVXrjWlO6M;UCbIa2wKzCfoTCF0qaNFEq-Q;RESIDENT EVIL 7 #1: Welcome to the Family Ethan;TheMFW
w80nzdhsJ9A;UCH8QQPcgI-WcmzMZ6P5B-Gg;RESIDENT EVIL 7 #3| COMO ABRIR LA TRAMPILLA PARA ESCONDERSE DEL PADRE | GUIA COMPLETA PASO A PASO;ZomBo Land GamePlay
Zl0SapmU9xk;UCJxfAl2ku2T4NxFpWNCcrpw;?????? Resident Evil 7 ????? ?????? - ??? ????? ?? ????;???
CqeIEw3cN6o;UC3oU0ZrnZfvXAUNeKEOFuKw;Resident Evil 7 Walkthrough : Part 2 : SUPPER TIME!!! (1080p 60fps);Barricade2091
mLyYnToX1dw;UCj1HrUIKkLwUD5uvHUZAywA;En Psikopat Korku Oyunu - Resident Evil 7!;Oyun Delisi
PRkpubALyJE;UCUGkSxaVP_65NyK8fUqPRIg;EV?N ACIMASIZ ANNES? ! | RESIDENT EVIL 7 TÜRKÇE BÖLÜM 5;Easter GamersTv
qSGvC8xJMrY;UCIwspRtKNszHhIhl36gREjQ;O MASSACRE DA SERRA ELÉTRICA! - RESIDENT EVIL 7 - Parte 3;ElectronicDesireGE
v9v_V1RHU2Q;UC2lJPgRa6PeDNLUqlCCmDAQ;RESIDENT EVIL 7 Gameplay Walkthrough Part 8 - HAPPY BIRTHDAY! (RE7 PS4 Gameplay);MathChief - Gameplay & Trailers!
1YkL1K8p9i4;UCZBY6V8Lxmwu8gGRBOyO11w;DADDY DOESN'T WANT IT WITH PAPI | Resident Evil 7 [Part 2];Kubz Scouts
i-eq2m5hRgA;UClEQXLhTjlHIWkQNx_hj7Cg;Resident Evil 7 FIN: [FR] Les 2 FIN Alternative;Fredericma45
mylr1AX_1B0;UCfvVRpFUV_8a6h-I4TjffKA;Descargar Resident Evil 7 Biohazard 2.0 GRATIS para pc en ESPAÑOL || CRACK A LA ESPERA;TryKevinHard 2.0
tLhFOD50768;UCk2vIsz3t9jJz_OffMB4y8Q;Let's Try Resident Evil VII Quiero El Divorcio;RanguGamer
fJhu1-j8NN4;UCZa8KMbKm99WGArKO2TNwFg;Resident Evil 7 Let's Play LIVE #1 Les Cris Virils de la Brioche;Superbrioche666
_FuOKoMosrs;UCrpWCVp9FuGA8OnGtA0rgsw;A LEGVRABB HORROR EVÖR | Resident Evil VII #2;TheVR
